ID_Localisation,Cas_Total,Vaccinations_Total,Population,Couverture_Vaccinale_Max,Taux_Croissance_Moyen,Cluster
MWI,89256,1256993,20405318,21,inf,3
MYS,5309410,72655240,33938216,81,inf,1
MYT,42902,0,326113,0,inf,3
NAM,172533,234709,2567024,21,inf,3
NCL,80163,0,289959,63,inf,2
NER,9518,0,26207982,20,inf,3
NGA,267188,3160328,218541216,37,inf,2
NIC,16185,0,6948395,88,inf,1
NIU,1074,0,1952,83,inf,1
NLD,8640008,0,17564020,67,inf,2
NOR,1512647,12119532,5434324,74,inf,1
NPL,1003450,15749069,30547586,80,inf,1
NRU,5393,168,12691,89,inf,1
NZL,2639048,12325943,5185289,82,inf,1
OMN,399449,65081,4576300,66,inf,2
OWID_AFR,13146831,862411377,1426736614,32,inf,2
OWID_ASI,301564180,-2147483648,426416074,73,inf,1
OWID_CYN,0,1988,382836,81,,1
OWID_ENG,0,142058067,56550000,75,,1
OWID_EUN,185822587,948298140,450146793,72,inf,1
OWID_EUR,252916868,1393735789,744807803,66,inf,2
OWID_HIC,429044052,-2147483648,1250514600,74,inf,1
OWID_KOS,274279,1331443,1782115,46,inf,2
OWID_LIC,1944687,332765685,737604900,27,inf,3
OWID_LMC,92019711,-2147483648,-862869996,59,inf,2
OWID_NAM,124492698,1156349115,600323657,65,inf,2
OWID_NIR,0,4396179,1896000,71,,1
OWID_OCE,15003468,88334564,45038860,62,inf,2
OWID_SAM,68811012,964964413,436816679,77,inf,1
OWID_SCT,0,12790751,5466000,78,,1
OWID_UMC,251756125,-2147483648,-1769045996,78,inf,1
OWID_WLS,0,8492555,3170000,78,,1
OWID_WRL,775935057,-2147483648,-614829568,64,inf,2
PAK,1580631,132235516,235824864,59,inf,2
PAN,1044821,258113,4408582,72,inf,1
PCN,4,0,47,100,inf,1
PER,4526977,91408722,34049588,84,inf,1
PHL,4205462,55439750,115559008,67,inf,2
PLW,6374,0,18084,0,inf,3
PNG,46864,0,10142625,3,inf,3
POL,6670799,41549442,39857144,56,inf,2
PRI,1252713,0,3252412,0,inf,3
PRK,0,0,26069416,0,,3
PRT,5664109,0,10270857,86,inf,1
PRY,735759,4149165,6780745,52,inf,2
PSE,703228,1640780,5250076,33,inf,2
PYF,79387,855,306292,60,inf,2
QAT,514524,5475250,2695131,105,inf,1
REU,494595,0,974062,0,inf,3
ROU,3541619,16801198,19659270,41,inf,2
RUS,24268728,152716447,144713312,55,inf,2
RWA,133264,920644,13776702,75,inf,1
SAU,841469,58060875,36408824,69,inf,2
SDN,63993,45572,46874200,28,inf,3
SEN,89485,330137,17316452,8,inf,3
SGP,3006155,14727002,5637022,90,inf,1
SHN,2166,0,5401,65,inf,2
SLB,25954,0,724272,35,inf,2
SLE,7979,7981,8605723,57,inf,2
SLV,201920,4964236,6336393,68,inf,2
SMR,25292,20141,33690,70,inf,1
SOM,27334,37292,17597508,43,inf,2
SPM,3426,0,5885,0,inf,3
SRB,2583470,3264684,6871547,47,inf,2
SSD,18823,7489,10913172,39,inf,2
STP,6771,0,227393,49,inf,2
SUR,82501,343344,618046,38,inf,2
SVK,1878002,0,5643455,45,inf,2
SVN,1356582,2980936,2119843,57,inf,2
SWE,2755181,69531,10549349,71,inf,1
SWZ,75356,110765,1201680,35,inf,2
SXM,11052,0,44192,60,inf,2
SYC,51886,42863,107135,78,inf,1
SYR,57423,102423,22125242,10,inf,3
TCA,6805,0,45726,67,inf,2
TCD,7702,0,17723312,28,inf,3
TGO,39530,0,8848700,17,inf,3
THA,4799181,127294606,71697024,74,inf,1
TJK,17786,124745,9952789,52,inf,2
TKL,80,0,1893,116,inf,1
TKM,0,0,6430777,71,,1
TLS,23460,7881,1341298,59,inf,2
TON,16976,0,106867,72,inf,1
TTO,191496,1512567,1531043,46,inf,2
TUN,1153361,8546870,12356116,51,inf,2
TUR,17004718,149899771,85341248,62,inf,2
TUV,2943,0,11335,83,inf,1
TWN,0,51180197,23893396,87,,1
TZA,43230,0,65497752,49,inf,2
UGA,172154,704976,47249588,27,inf,3
UKR,5532777,31551877,39701744,39,inf,2
URY,1041346,8966322,3422796,84,inf,1
USA,-2147483648,-2147483648,338289856,68,inf,2
UZB,175081,15127072,34627648,53,inf,2
VAT,26,0,808,0,inf,3
VCT,9674,16641,103959,30,inf,2
VEN,552695,0,28301700,52,inf,2
VGB,7557,0,31332,58,inf,2
VIR,25391,0,99479,0,inf,3
VNM,11624000,140207439,98186856,87,inf,1
VUT,12019,0,326744,49,inf,2
WLF,3760,0,11596,58,inf,2
WSM,17077,0,222390,80,inf,1
YEM,11945,0,33696612,2,inf,3
ZAF,4072765,20014831,59893884,35,inf,2
ZMB,349842,2517495,20017670,46,inf,2
ZWE,266387,10801392,16320539,29,inf,3
GLOBAL,1346045479,-787592175,0,64,inf,2
