ID_Localisation,Cas_Total,Vaccinations_Total,Dernier_Type_Mesure,Population,Vaccinated,Couverture_Vaccinale_Max,Taux_Croissance_Moyen,Cluster
KGZ,88953,2917641,0.0,6630621,1406016,21,inf,3
KHM,139319,36482941,0.0,16767851,14693274,87,inf,1
KIR,5085,0,0.0,131237,81474,62,inf,2
KNA,6607,6553,,47681,27000,56,inf,2
KOR,34571873,129580486,0.0,51815808,44372679,85,inf,1
KWT,667290,37214,0.0,4268886,3346176,78,inf,1
LAO,219060,1981593,1.0,7529477,5222417,69,inf,2
LBN,1239904,5134981,0.0,5489744,2414223,43,inf,2
LBR,8090,10089,0.0,5302690,3730967,70,inf,1
LBY,507269,200655,0.0,6812344,1236102,18,inf,3
LCA,30282,26359,,179872,54971,30,inf,2
LIE,21588,59493,0.0,39355,0,0,inf,3
LKA,672798,33589253,0.0,21832150,14752827,67,inf,2
LSO,36138,0,0.0,2305826,938088,40,inf,2
LTU,1369355,4587683,0.0,2750058,1881106,68,inf,2
LUX,393542,1286886,0.0,647601,462702,71,inf,1
LVA,977765,2895704,0.0,1850654,1305976,70,inf,1
MAC,0,918831,2.0,695180,642266,92,,1
MAF,12324,0,,31816,0,0,inf,3
MAR,1279115,27409359,0.0,37457976,23521989,62,inf,2
MCO,17181,0,0.0,36491,25667,70,inf,1
MDA,637520,1336495,0.0,3272993,1078961,32,inf,2
MDG,68567,13544,0.0,29611718,2628849,8,inf,3
MDV,186695,772572,,523798,385167,73,inf,1
MEX,7619458,150702693,1.0,127504120,81849962,64,inf,2
MHL,16297,0,,41593,0,0,inf,3
MKD,350924,925842,,2093606,838181,40,inf,2
MLI,33166,0,0.0,22593598,3633589,16,inf,3
MLT,122796,1344360,0.0,533293,471565,88,inf,1
MMR,642885,3800,1.0,54179312,35937796,66,inf,2
MNE,251280,608582,,627082,284869,45,inf,2
MNG,1011489,4415265,0.0,3398373,2175617,64,inf,2
MNP,14912,0,,49574,0,0,inf,3
MOZ,233843,295812,0.0,32969520,21329745,64,inf,2
MRT,63996,24659,0.0,4736146,1540597,32,inf,2
MSR,1403,0,,4413,1952,44,inf,2
MTQ,230354,0,,367512,0,0,inf,3
MUS,328167,35153,0.0,1299478,1088142,83,inf,1
MWI,89256,1256993,1.0,20405318,4288014,21,inf,3
MYS,5309410,72655240,0.0,33938216,27551144,81,inf,1
MYT,42902,0,,326113,0,0,inf,3
NAM,172533,234709,0.0,2567024,550978,21,inf,3
NCL,80163,0,,289959,184816,63,inf,2
NER,9518,0,0.0,26207982,5483001,20,inf,3
NGA,267188,3160328,0.0,218541216,81297808,37,inf,2
NIC,16185,0,0.0,6948395,6126708,88,inf,1
NIU,1074,0,,1952,1635,83,inf,1
NLD,8640008,0,0.0,17564020,11768644,67,inf,2
NOR,1512647,12119532,0.0,5434324,4054726,74,inf,1
NPL,1003450,15749069,0.0,30547586,24471043,80,inf,1
NRU,5393,168,,12691,11346,89,inf,1
NZL,2639048,12325943,0.0,5185289,4291717,82,inf,1
OMN,399449,65081,0.0,4576300,3048826,66,inf,2
OWID_AFR,13146831,862411377,,1426736614,462411423,32,inf,2
OWID_ASI,301564180,-2147483648,,426416074,-2147483648,73,inf,1
OWID_CYN,0,1988,,382836,313067,81,,1
OWID_ENG,0,142058067,,56550000,42951064,75,,1
OWID_EUN,185822587,948298140,,450146793,327967426,72,inf,1
OWID_EUR,252916868,1393735789,,744807803,493751304,66,inf,2
OWID_HIC,429044052,-2147483648,,1250514600,929255961,74,inf,1
OWID_KOS,274279,1331443,,1782115,825082,46,inf,2
OWID_LIC,1944687,332765685,,737604900,204944352,27,inf,3
OWID_LMC,92019711,-2147483648,,-862869996,2053053994,59,inf,2
OWID_NAM,124492698,1156349115,,600323657,394493922,65,inf,2
OWID_NIR,0,4396179,,1896000,1361003,71,,1
OWID_OCE,15003468,88334564,,45038860,28072902,62,inf,2
OWID_SAM,68811012,964964413,,436816679,337117943,77,inf,1
OWID_SCT,0,12790751,,5466000,4285946,78,,1
OWID_UMC,251756125,-2147483648,,-1769045996,1990653301,78,inf,1
OWID_WLS,0,8492555,,3170000,2477109,78,,1
OWID_WRL,775935057,-2147483648,,-614829568,-2147483648,64,inf,2
PAK,1580631,132235516,2.0,235824864,140475871,59,inf,2
PAN,1044821,258113,1.0,4408582,3174155,72,inf,1
PCN,4,0,,47,47,100,inf,1
PER,4526977,91408722,0.0,34049588,28709644,84,inf,1
PHL,4205462,55439750,0.0,115559008,78443972,67,inf,2
PLW,6374,0,,18084,0,0,inf,3
PNG,46864,0,0.0,10142625,321192,3,inf,3
POL,6670799,41549442,1.0,39857144,22649355,56,inf,2
PRI,1252713,0,0.0,3252412,0,0,inf,3
PRK,0,0,,26069416,0,0,,3
PRT,5664109,0,0.0,10270857,8909769,86,inf,1
PRY,735759,4149165,0.0,6780745,3546685,52,inf,2
PSE,703228,1640780,0.0,5250076,1776973,33,inf,2
PYF,79387,855,,306292,186803,60,inf,2
QAT,514524,5475250,0.0,2695131,2852178,105,inf,1
REU,494595,0,,974062,0,0,inf,3
ROU,3541619,16801198,0.0,19659270,8114769,41,inf,2
RUS,24268728,152716447,0.0,144713312,79702396,55,inf,2
RWA,133264,920644,0.0,13776702,10399665,75,inf,1
SAU,841469,58060875,0.0,36408824,25433941,69,inf,2
SDN,63993,45572,0.0,46874200,13416394,28,inf,3
SEN,89485,330137,0.0,17316452,1546628,8,inf,3
SGP,3006155,14727002,1.0,5637022,5120969,90,inf,1
SHN,2166,0,,5401,3531,65,inf,2
SLB,25954,0,1.0,724272,254352,35,inf,2
SLE,7979,7981,2.0,8605723,4961886,57,inf,2
SLV,201920,4964236,1.0,6336393,4344286,68,inf,2
SMR,25292,20141,0.0,33690,23633,70,inf,1
SOM,27334,37292,0.0,17597508,7666835,43,inf,2
SPM,3426,0,,5885,0,0,inf,3
SRB,2583470,3264684,0.0,6871547,3278198,47,inf,2
SSD,18823,7489,0.0,10913172,4273253,39,inf,2
STP,6771,0,,227393,111986,49,inf,2
SUR,82501,343344,1.0,618046,237879,38,inf,2
SVK,1878002,0,0.0,5643455,2577827,45,inf,2
SVN,1356582,2980936,0.0,2119843,1222225,57,inf,2
SWE,2755181,69531,0.0,10549349,7593676,71,inf,1
SWZ,75356,110765,0.0,1201680,427335,35,inf,2
SXM,11052,0,,44192,26773,60,inf,2
SYC,51886,42863,0.0,107135,83565,78,inf,1
SYR,57423,102423,0.0,22125242,2358365,10,inf,3
TCA,6805,0,,45726,30710,67,inf,2
TCD,7702,0,0.0,17723312,5020360,28,inf,3
TGO,39530,0,0.0,8848700,1554066,17,inf,3
THA,4799181,127294606,0.0,71697024,53486086,74,inf,1
TJK,17786,124745,0.0,9952789,5191919,52,inf,2
TKL,80,0,,1893,2203,116,inf,1
TKM,0,0,0.0,6430777,4568901,71,,1
TLS,23460,7881,0.0,1341298,801759,59,inf,2
TON,16976,0,0.0,106867,77360,72,inf,1
TTO,191496,1512567,0.0,1531043,716898,46,inf,2
TUN,1153361,8546870,0.0,12356116,6401841,51,inf,2
TUR,17004718,149899771,0.0,85341248,53176961,62,inf,2
TUV,2943,0,,11335,9505,83,inf,1
TWN,0,51180197,1.0,23893396,20793089,87,,1
TZA,43230,0,0.0,65497752,32165791,49,inf,2
UGA,172154,704976,0.0,47249588,13061126,27,inf,3
UKR,5532777,31551877,0.0,39701744,15741036,39,inf,2
URY,1041346,8966322,0.0,3422796,2903089,84,inf,1
USA,-2147483648,-2147483648,0.0,338289856,230637348,68,inf,2
UZB,175081,15127072,0.0,34627648,18451781,53,inf,2
VAT,26,0,,808,0,0,inf,3
VCT,9674,16641,,103959,31632,30,inf,2
VEN,552695,0,0.0,28301700,14966671,52,inf,2
VGB,7557,0,,31332,18261,58,inf,2
VIR,25391,0,0.0,99479,0,0,inf,3
VNM,11624000,140207439,0.0,98186856,85961564,87,inf,1
VUT,12019,0,0.0,326744,162250,49,inf,2
WLF,3760,0,,11596,6803,58,inf,2
WSM,17077,0,,222390,177954,80,inf,1
YEM,11945,0,0.0,33696612,807057,2,inf,3
ZAF,4072765,20014831,0.0,59893884,21038797,35,inf,2
ZMB,349842,2517495,0.0,20017670,9213802,46,inf,2
ZWE,266387,10801392,1.0,16320539,4751270,29,inf,3
GLOBAL,1346045479,-787592175,616321.0,0,0,64,inf,2
